blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime
1,1,2,1,2,8.733333333,1,0.733333333,13
1,2,28,3,0,21.95,0,0.95,24
1,3,40,1,0,33.05,0,1.05,35
1,4,2,3,2,43.78333333,3,0.783333333,48
1,5,22,1,22,57.2,1,1.2,81
1,6,2,3,2,89.65,3,0.65,94
1,7,2,1,2,102.6333333,1,0.633333333,107
1,8,2,3,2,115.7833333,3,0.783333333,120
1,9,22,3,0,129.3,0,1.3,131
1,10,2,1,2,139.7166667,1,0.716666667,144
1,11,2,3,2,152.6333333,3,0.633333333,157
1,12,2,1,2,165.5666667,1,0.566666667,170
1,13,28,1,0,179.0666667,0,1.066666667,181
1,14,40,3,0,189.75,0,0.75,192
1,15,40,1,0,200.7666667,0,0.766666667,203
1,16,2,1,2,211.6333333,1,0.633333333,216
1,17,22,1,0,224.8333333,0,0.833333333,227
1,18,2,1,2,235.7166667,1,0.716666667,240
1,19,2,3,2,248.8,3,0.8,253
1,20,2,3,2,261.85,3,0.85,266
1,21,28,3,0,275.05,0,1.05,277
1,22,40,1,0,285.8666667,0,0.866666667,288
1,23,2,3,2,296.6666667,3,0.666666667,301
1,24,2,3,2,309.6,3,0.6,314
1,25,22,1,0,323.7666667,0,1.766666667,325
1,26,2,3,2,334.1833333,3,1.183333333,338
1,27,28,1,0,346.8666667,0,0.866666667,349
1,28,2,3,2,357.6166667,3,0.616666667,362
1,29,22,3,0,371.1333333,0,1.133333333,373
1,30,40,3,0,381.8166667,0,0.816666667,384
1,31,28,3,0,393.1666667,0,1.166666667,395
1,32,2,1,2,403.6166667,1,0.616666667,408
1,33,2,3,2,416.65,3,0.65,421
1,34,2,1,2,429.6666667,1,0.666666667,434
1,35,2,1,2,442.5833333,1,0.583333333,447
1,36,22,3,0,457,0,2,458
1,37,2,1,2,466.6833333,1,0.683333333,471
1,38,40,3,0,479.6666667,0,0.666666667,482
1,39,2,3,2,490.8666667,3,0.866666667,495
1,40,28,1,0,503.6333333,0,0.633333333,506
1,41,2,1,2,514.5833333,1,0.583333333,519
1,42,2,1,2,527.7166667,1,0.716666667,532
1,43,22,1,0,540.7,0,0.7,543
1,44,2,1,2,551.5333333,1,0.533333333,556
1,45,2,1,2,564.6166667,1,0.616666667,569
1,46,40,3,0,577.7833333,0,0.783333333,580
1,47,2,1,2,588.65,1,0.65,593
1,48,28,1,0,601.8,0,0.8,604
2,1,22,3,22,9.216666667,3,1.216666667,33
2,2,28,1,0,41.91666667,0,0.916666667,44
2,3,28,3,0,53.05,0,1.05,55
2,4,2,1,2,63.75,1,0.75,68
2,5,28,1,0,77.26666667,0,1.266666667,79
2,6,28,1,0,87.86666667,0,0.866666667,90
2,7,40,3,0,99.05,0,1.05,101
2,8,28,3,0,110.7,0,1.7,112
2,9,2,1,2,120.9666667,1,0.966666667,125
2,10,40,3,0,133.8166667,0,0.816666667,136
2,11,28,3,28,146.7333333,3,2.733333333,175
2,12,28,1,0,183.9666667,0,0.966666667,186
2,13,22,1,22,194.9,1,0.9,219
2,14,28,3,0,227.9666667,0,0.966666667,230
2,15,40,1,0,238.7666667,0,0.766666667,241
2,16,28,3,0,250.1833333,0,1.183333333,252
2,17,28,3,28,261.7666667,3,1.766666667,291
2,18,28,3,0,301.3666667,0,2.366666667,302
2,19,2,1,2,310.6333333,1,0.633333333,315
2,20,22,1,22,324.1166667,1,1.116666667,348
2,21,28,1,0,357.6666667,0,1.666666667,359
2,22,2,1,2,367.75,1,0.75,372
2,23,28,3,0,381.1,0,1.1,383
2,24,28,1,0,392.0333333,0,1.033333333,394
2,25,40,3,0,402.7666667,0,0.766666667,405
2,26,28,3,0,414.1333333,0,1.133333333,416
2,27,22,1,22,424.9666667,1,0.966666667,449
2,28,28,3,0,458.2666667,0,1.266666667,460
2,29,28,3,0,469.9666667,0,1.966666667,471
2,30,40,1,0,479.9,0,0.9,482
2,31,28,3,28,490.85,3,0.85,521
2,32,2,1,2,529.6666667,1,0.666666667,534
2,33,28,3,28,543.5833333,3,1.583333333,573
2,34,28,3,28,583.15,3,2.15,612
